_time,_measurement,device_id,event,loopcount,timecost
2023-09-22T12:10:56Z,sdgp,vm3,startjob,,
2023-09-22T12:14:47Z,sdgp,vm3,endjob,,
2023-09-22T12:17:15Z,sdgp,vm3,startjob,,
2023-09-22T12:20:58Z,sdgp,vm3,endjob,,
2023-09-22T12:33:13Z,sdgp,vm3,startjob,,
2023-09-22T12:14:00Z,sdgp,vm3,,100000,111
2023-09-22T12:20:04Z,sdgp,vm3,,100000,103
2023-09-22T12:26:04Z,sdgp,vm30,startjob,,
2023-09-22T12:30:41Z,sdgp,vm30,endjob,,
2023-09-22T12:29:54Z,sdgp,vm30,,100000,176
2023-09-22T12:10:14Z,sdgp,vm31,startjob,,
2023-09-22T12:13:34Z,sdgp,vm31,endjob,,
2023-09-22T12:25:38Z,sdgp,vm31,startjob,,
2023-09-22T12:30:24Z,sdgp,vm31,endjob,,
2023-09-22T12:12:36Z,sdgp,vm31,,100000,100
2023-09-22T12:29:34Z,sdgp,vm31,,100000,177
2023-09-22T12:11:06Z,sdgp,vm32,startjob,,
2023-09-22T12:15:01Z,sdgp,vm32,endjob,,
2023-09-22T12:17:05Z,sdgp,vm32,startjob,,
2023-09-22T12:20:35Z,sdgp,vm32,endjob,,
2023-09-22T12:26:53Z,sdgp,vm32,startjob,,
2023-09-22T12:30:09Z,sdgp,vm32,endjob,,
2023-09-22T12:33:34Z,sdgp,vm32,startjob,,
2023-09-22T12:14:16Z,sdgp,vm32,,100000,113
2023-09-22T12:19:37Z,sdgp,vm32,,100000,96
2023-09-22T12:29:19Z,sdgp,vm32,,100000,94
2023-09-22T12:09:40Z,sdgp,vm33,startjob,,
2023-09-22T12:12:18Z,sdgp,vm33,endjob,,
2023-09-22T12:16:50Z,sdgp,vm33,startjob,,
2023-09-22T12:20:05Z,sdgp,vm33,endjob,,
2023-09-22T12:28:50Z,sdgp,vm33,startjob,,
2023-09-22T12:32:11Z,sdgp,vm33,endjob,,
2023-09-22T12:34:39Z,sdgp,vm33,startjob,,
2023-09-22T12:11:11Z,sdgp,vm33,,100000,65
2023-09-22T12:19:07Z,sdgp,vm33,,100000,90
2023-09-22T12:31:23Z,sdgp,vm33,,100000,101
2023-09-22T12:14:10Z,sdgp,vm34,startjob,,
2023-09-22T12:18:26Z,sdgp,vm34,endjob,,
2023-09-22T12:26:28Z,sdgp,vm34,startjob,,
2023-09-22T12:29:47Z,sdgp,vm34,endjob,,
2023-09-22T12:17:42Z,sdgp,vm34,,100000,162
2023-09-22T12:28:59Z,sdgp,vm34,,100000,94
2023-09-22T12:10:09Z,sdgp,vm35,startjob,,
2023-09-22T12:12:54Z,sdgp,vm35,endjob,,
2023-09-22T12:15:02Z,sdgp,vm35,startjob,,
2023-09-22T12:17:23Z,sdgp,vm35,endjob,,
