#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_CIN,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_CIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:10:33Z,hyperbmc,bmc,38.5,34.5,36,35,15293,15424,15321,15128,33,27,27.5,0.989,4528,20,225,231.5,1.029,4616,18,236,231.5
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:10:44Z,hyperbmc,bmc,37,33.5,34.5,33.5,15321,15421,15337,15126,32.5,26,26.5,0.972,4528,20,223,231.75,1.0170000000000001,4560,18,234,231.5
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:10:55Z,hyperbmc,bmc,35.5,32,33,32.5,15303,15418,15334,15138,32,25.5,25.5,1.05,4616,20,229,231.5,1.105,4824,18,254,231.25
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:11:06Z,hyperbmc,bmc,34.5,31,32,31.5,15303,15416,15347,15138,31.5,25.5,25,1.042,4616,20,240,231,1.109,4888,18,247,231.5
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:11:16Z,hyperbmc,bmc,33.5,30,31,30.5,15300,15400,15332,15151,31,25,24.5,1.101,4824,19,250,231.25,1.166,5008,18,276,231
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:11:28Z,hyperbmc,bmc,32.5,29.5,30.5,30,15287,15400,15334,15148,30.5,25,24,1.099,4888,19,249,231,1.166,4888,18,276,231.25
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:11:39Z,hyperbmc,bmc,32,29,30,29.5,15300,15400,15329,15148,30,25,23.5,1.101,4888,19,251,231,1.169,4888,18,266,231
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:11:49Z,hyperbmc,bmc,31,28.5,29.5,29.5,15300,15408,15345,15159,29.5,25,23.5,1.101,4888,19,264,231,1.169,4920,18,264,231.25
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:12:01Z,hyperbmc,bmc,30.5,28,29.5,29.5,15300,15395,15332,15148,29,25,23,1.099,4888,19,253,231.25,1.167,4920,18,266,231.25
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:12:12Z,hyperbmc,bmc,30,28,29.5,29,15298,15395,15360,15156,29,25,23,1.099,4888,19,251,230.5,1.173,4920,18,265,231
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:12:24Z,hyperbmc,bmc,30,27.5,29,29,15392,15395,15326,15171,28.5,25,22.5,1.101,4888,19,251,230.75,1.171,4888,18,266,231
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:12:35Z,hyperbmc,bmc,29.5,27.5,29,29,15395,15408,15345,15171,28,25,22.5,1.099,4888,19,252,231,1.171,4888,18,272,231
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:12:45Z,hyperbmc,bmc,29,27.5,29,29,15282,15395,15342,15171,28,25,22.5,1.099,4888,19,256,230.75,1.169,4920,18,269,231.25
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:12:57Z,hyperbmc,bmc,29,27.5,29,29,15280,15392,15340,15156,28,25,22.5,1.101,4888,19,248,231,1.173,4888,18,275,231.25
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:13:07Z,hyperbmc,bmc,29,27,28.5,29,15298,15403,15342,15169,27.5,25,22.5,1.101,4888,19,252,231,1.169,4888,18,274,231.25
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:13:19Z,hyperbmc,bmc,28.5,26.5,28.5,29,15295,15389,15340,15166,27.5,25,22,1.099,4888,19,252,231,1.171,4920,18,274,231
,,0,2025-10-23T14:26:27.887635576Z,2025-12-13T14:26:27.887635576Z,2025-12-13T14:13:30Z,hyperbmc,bmc,28.5,27,28.5,29,15295,15408,15355,15169,27.5,25,22,1.101,4888,19,251,231.25,1.171,4920,18,274,231.25
