#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_CIN,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_CIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:14:29Z,sdgp,bmc,53,51,49,46,1705,1691,1692,1692,45.5,41.5,40.5,0.56,6688,34,125,228.25,0.56,5400,27,125,228.25
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:14:40Z,sdgp,bmc,53,51,49,46,1676,1683,1688,1686,45.5,41.5,40.5,0.56,6688,34,125,228,0.56,5280,27,125,228.25
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:14:52Z,sdgp,bmc,53,51,49,46,1701,1685,1691,1694,45.5,41.5,40.5,0.56,6720,34,124,228.25,0.56,5216,27,125,228
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:15:03Z,sdgp,bmc,53,51,49,46,1706,1683,1690,1704,45.5,41.5,40.5,0.56,6720,34,125,228,0.56,5248,27,125,228
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:15:13Z,sdgp,bmc,53.5,51,49,46,1700,1695,1692,1684,45.5,41.5,40.5,0.56,6720,34,125,228,0.56,5336,27,125,228
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:15:26Z,sdgp,bmc,53.5,51,49,46,1672,1687,1681,1695,45.5,41.5,41,0.56,6688,34,125,227.75,0.56,5248,27,125,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:15:37Z,sdgp,bmc,53.5,51,49,46,1698,1680,1688,1686,45.5,41.5,41,0.55,6720,34,124,227.5,0.61,5184,27,136,227.5
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:15:49Z,sdgp,bmc,53.5,51,49,46,1705,1692,1688,1689,45.5,41.5,41,0.58,6720,34,129,227.75,0.65,5336,27,145,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:15:59Z,sdgp,bmc,53.5,51,49,46,1672,1689,1688,1683,45.5,41.5,41,0.59,6688,34,133,228,0.66,5336,27,147,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:16:10Z,sdgp,bmc,53.5,51,49.5,46,1697,1689,1689,1691,45.5,41.5,41,0.59,6720,34,134,227.5,0.66,5336,27,148,228
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:16:21Z,sdgp,bmc,53.5,51,49.5,46.5,1701,1694,1693,1690,45.5,41.5,41,0.58,6720,34,129,227.75,0.65,5336,27,145,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:16:33Z,sdgp,bmc,53.5,51,50,46.5,1705,1682,1689,1700,45.5,41.5,41,0.58,6688,34,130,227.75,0.65,5336,27,145,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:16:44Z,sdgp,bmc,53.5,51,50,46.5,1675,1681,1698,1688,45.5,41.5,41,0.58,6720,34,131,228,0.65,5336,27,146,228
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:16:56Z,sdgp,bmc,53.5,51,50,46.5,3224,3198,3196,3199,46,41.5,41,0.59,6688,34,134,228,0.67,5336,27,149,228
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:17:07Z,sdgp,bmc,53.5,51,50,46.5,3175,3198,3198,3204,46,41,41,0.55,6688,33,123,228,0.62,5336,26,139,228.25
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:17:17Z,sdgp,bmc,53.5,50.5,50.5,46.5,3203,3198,3196,3189,46,41,41,0.55,6688,33,125,227.75,0.62,5336,26,141,228
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:17:29Z,sdgp,bmc,53,50.5,50,46.5,3176,3198,3195,3191,46,40.5,40.5,0.56,6688,33,124,227.75,0.62,5336,26,140,228
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:17:39Z,sdgp,bmc,53,50,50,46.5,3174,3201,3208,3190,46,40,40.5,0.56,6720,33,125,227.5,0.62,5336,26,140,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:17:53Z,sdgp,bmc,53,50,50,46,3176,3199,3209,3189,46,40,40.5,0.55,6688,32,124,228,0.62,5368,26,139,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:18:03Z,sdgp,bmc,53,50,50,46,1675,1684,1690,1692,45.5,39.5,40.5,0.6,6536,33,136,227.5,0.67,5336,26,150,227.5
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:18:15Z,sdgp,bmc,53,50,50,46,1698,1681,1691,1701,45.5,40,40.5,0.59,6536,33,133,227.75,0.66,5336,26,149,227.5
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:18:27Z,sdgp,bmc,53,50,50,46,1702,1696,1688,1693,45.5,40,40.5,0.59,6536,33,134,227.5,0.66,5368,26,148,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:18:39Z,sdgp,bmc,53,50,50,46,1674,1681,1681,1695,45.5,40,40.5,0.6,6536,33,135,227.5,0.67,5368,26,149,227.5
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:18:50Z,sdgp,bmc,53,49.5,50,46,1704,1695,1689,1696,45.5,40.5,40.5,0.6,6536,33,135,227.5,0.67,5336,26,149,227.5
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:19:01Z,sdgp,bmc,53,50,50,46.5,1703,1685,1694,1684,45.5,40.5,40.5,0.6,6536,33,134,227.5,0.67,5336,26,149,227.5
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:19:12Z,sdgp,bmc,53.5,50,50.5,46.5,1672,1688,1693,1683,45.5,40.5,40.5,0.6,6600,33,136,227.25,0.67,5368,26,150,227.5
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:19:23Z,sdgp,bmc,53.5,50,50.5,46.5,1673,1682,1691,1697,45.5,40.5,40.5,0.6,6688,33,135,227.75,0.67,5368,26,149,227.5
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:19:33Z,sdgp,bmc,53.5,50,50.5,46.5,1674,1689,1680,1690,45.5,41,40.5,0.61,6720,34,136,227.5,0.68,5336,26,151,227.25
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:19:46Z,sdgp,bmc,53.5,50.5,50.5,47,1702,1697,1690,1699,45.5,41,40.5,0.6,6720,34,135,227.5,0.67,5368,26,150,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:19:59Z,sdgp,bmc,53.5,50.5,51,47,3008,2965,2973,2864,45.5,41,40.5,0.62,6720,34,138,227.5,0.67,5368,26,151,227.5
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:20:11Z,sdgp,bmc,53.5,50,51,46.5,3176,3197,3209,3192,46,41,40.5,0.54,6720,33,122,227.75,0.62,5336,26,138,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:20:21Z,sdgp,bmc,53.5,50,51,47,3177,3199,3196,3189,46,40.5,40.5,0.55,6688,33,123,227.5,0.62,5336,26,138,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:20:32Z,sdgp,bmc,53.5,50,51,47,3172,3197,3196,3189,46,40.5,40.5,0.55,6720,33,122,227.5,0.62,5368,26,137,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:20:43Z,sdgp,bmc,53,49,50.5,46.5,3172,3207,3193,3189,46,40,40.5,0.54,6688,32,122,227.75,0.61,5248,26,137,228
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:20:53Z,sdgp,bmc,53,49,50.5,46.5,3228,3197,3196,3189,46,39.5,40.5,0.54,6720,32,122,227.75,0.61,5096,26,137,227.5
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:21:05Z,sdgp,bmc,53,49.5,50,46.5,2486,2444,2509,2501,46,39.5,40.5,0.54,6720,32,121,227.5,0.61,5096,26,136,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:21:16Z,sdgp,bmc,53,49,50,46,1696,1682,1688,1696,45.5,39.5,40.5,0.54,6656,32,121,227.5,0.61,5064,26,136,228
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:21:27Z,sdgp,bmc,53,49.5,50,46,1702,1686,1695,1697,45.5,39.5,40.5,0.54,6720,33,121,227.75,0.61,5064,26,135,227.75
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:21:38Z,sdgp,bmc,53,49,50,45.5,1701,1684,1692,1698,45.5,39.5,40.5,0.54,6688,33,122,227.75,0.62,5216,26,137,228
,,0,2023-06-02T07:34:41.026687326Z,2023-07-23T07:34:41.026687326Z,2023-07-23T07:21:49Z,sdgp,bmc,53,49.5,50,45.5,1672,1681,1689,1693,45.5,40,40.5,0.54,6688,33,122,227.75,0.61,5336,26,137,228
