#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:09:43Z,sdgp,bmc,44,42,44,44,5595,5638,5627,5618,40,36,35,5336,29,166,229,4528,26,174,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:10:06Z,sdgp,bmc,44,42,44,43.5,5595,5643,5625,5617,40,36,35,5336,29,166,228.75,4560,26,173,228.75
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:10:29Z,sdgp,bmc,44.5,42,44,43.5,5599,5639,5628,5616,40,36,35.5,5424,29,167,228.75,4528,26,175,228.75
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:10:52Z,sdgp,bmc,44.5,42,44.5,43.5,5598,5636,5625,5617,40,36,35.5,5520,29,165,228.75,4528,26,173,228.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:11:15Z,sdgp,bmc,44.5,42,44.5,44,5753,5793,5775,5767,40,36,35.5,5544,29,166,228.5,4528,26,174,228.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:11:38Z,sdgp,bmc,44.5,42,44,44,5914,5961,5951,5934,40,36,35.5,5520,29,166,229,4560,26,174,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:12:01Z,sdgp,bmc,44.5,42,44,43.5,6078,6125,6111,6103,40,36,35.5,5520,29,166,229,4528,26,174,228.75
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:12:24Z,sdgp,bmc,44.5,42,44,44,6079,6123,6112,6103,40,35.5,35.5,5544,29,167,228.75,4528,26,175,228.75
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:12:48Z,sdgp,bmc,44.5,42,44,43.5,6078,6128,6110,6102,40,35.5,35.5,5520,29,166,229,4528,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:13:11Z,sdgp,bmc,44,42,44,43,6080,6123,6111,6100,40,35.5,35.5,5488,29,166,229.25,4528,26,174,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:13:39Z,sdgp,bmc,44,42,43.5,43.5,6076,6124,6110,6102,40,35.5,35.5,5456,29,167,229.25,4528,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:14:01Z,sdgp,bmc,44,42,43.5,43.5,6075,6125,6111,6100,40,35.5,35.5,5336,29,167,229.5,4560,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:14:24Z,sdgp,bmc,44,41.5,43.5,43.5,6076,6120,6111,6100,40,35.5,35.5,5336,29,166,229,4560,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:14:48Z,sdgp,bmc,44,41.5,43.5,43,6076,6126,6111,6102,40,35.5,35.5,5368,29,166,229.25,4528,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:15:12Z,sdgp,bmc,44,41.5,43.5,43,6076,6125,6112,6099,40,35.5,35.5,5368,29,166,229.25,4560,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:16:00Z,sdgp,bmc,44,41.5,43.5,43,6078,6136,6112,6102,40,35.5,35.5,5336,29,166,229.25,4528,26,175,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:16:23Z,sdgp,bmc,44,41.5,43.5,43,6076,6123,6111,6102,40,35.5,35.5,5336,29,166,229,4528,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:16:45Z,sdgp,bmc,44,41.5,43.5,43,6076,6123,6112,6103,40,35.5,35.5,5368,29,166,229,4528,26,174,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:17:08Z,sdgp,bmc,44,41.5,43.5,43,6078,6135,6112,6100,40,35.5,35.5,5368,29,166,228.75,4528,26,174,228.75
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:17:32Z,sdgp,bmc,44,41.5,43.5,43,6081,6121,6114,6100,40,35.5,35.5,5336,29,166,229,4528,26,174,228.75
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:17:55Z,sdgp,bmc,44,41.5,43.5,43,6077,6123,6111,6102,40,35.5,35.5,5368,29,166,228.75,4528,26,174,228.75
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:18:23Z,sdgp,bmc,44,41.5,43.5,43,6079,6124,6111,6100,40,35.5,35.5,5368,29,166,229.25,4528,26,174,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:19:07Z,sdgp,bmc,43.5,41.5,43.5,43,6080,6125,6110,6102,40,35.5,35.5,5368,29,166,229,4528,26,174,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:19:30Z,sdgp,bmc,43.5,41.5,43.5,43,6079,6127,6113,6100,40,35.5,35.5,5368,29,168,228.75,4560,26,176,228.75
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:19:53Z,sdgp,bmc,43.5,41.5,43.5,43,6079,6125,6111,6100,40,35.5,35.5,5368,29,166,229,4528,26,174,228.75
