#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:00:18Z,sdgp,bmc,46.5,43.5,43,41.5,3497,3524,3521,3510,42.5,37.5,36.5,5816,31,121,230.25,4920,27,121,230.25
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:00:41Z,sdgp,bmc,47,43.5,43,41.5,3340,3359,3361,3361,42.5,38,36.5,5816,31,122,230,4920,27,122,230.25
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:01:04Z,sdgp,bmc,46.5,43.5,43.5,42,3339,3359,3361,3360,42.5,38,37,5784,31,122,229.75,4888,27,122,229.75
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:01:27Z,sdgp,bmc,47,44.5,44,41.5,3225,3198,3194,3187,42.5,38,36.5,5816,31,122,230.25,4920,27,122,230.25
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:02:13Z,sdgp,bmc,47.5,44,43.5,42,3007,3030,3027,3020,42.5,38,37,5784,31,122,230.5,4888,27,122,230.25
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:02:39Z,sdgp,bmc,47.5,44.5,44.5,42,2834,2863,2873,2856,42.5,38.5,37,6056,31,121,230.25,5064,27,121,230.5
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:03:02Z,sdgp,bmc,48,44.5,44,42,2835,2863,2869,2857,42.5,38.5,37,6056,31,122,230,5096,27,122,230.25
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:03:25Z,sdgp,bmc,48,44.5,44,42.5,2839,2860,2860,2855,42.5,38,37,6056,31,121,230.5,5064,27,121,230.5
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:03:48Z,sdgp,bmc,47.5,45,45,42.5,2839,2861,2856,2856,43,39,37,6056,32,121,230,5064,27,121,230.25
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:04:12Z,sdgp,bmc,48,45,45,42.5,2838,2860,2872,2855,43,39,37.5,6056,32,121,230.25,5096,27,121,230
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:04:35Z,sdgp,bmc,48.5,45,45,43,2672,2703,2688,2686,43,38.5,37.5,6056,32,127,229.75,5064,27,137,229.5
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:06:28Z,sdgp,bmc,49,46.5,47.5,46.5,3341,3363,3363,3361,43.5,39.5,38,6264,32,157,229.25,5336,28,165,229.25
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:06:51Z,sdgp,bmc,49,46.5,48.5,47,3496,3526,3518,3522,43.5,39.5,38,6264,32,160,229.5,5336,28,168,229.75
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:07:14Z,sdgp,bmc,49,46.5,48.5,47.5,4110,4128,4149,4149,43.5,39,38.5,6264,32,158,229.25,5096,27,166,229.25
,,0,2023-06-18T09:45:24.862912049Z,2023-06-19T09:45:24.862912049Z,2023-06-19T09:07:37Z,sdgp,bmc,49,46.5,49,47.5,4551,4653,4647,4646,44,39,38.5,6264,32,161,229.5,5064,27,169,229.5
