#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_CIN,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_CIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:20:55Z,sdgp,controller,7562977,21645052,107920771,10.2,7.14,8.08,8.25,8.16,7.22,11.11,6.19,1445788130,454,7.3,11550,1433750613,1098986150,0.62,0.86,0.78,19.63,1250
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:21:00Z,sdgp,controller,7166459,18533788,101213694,7.14,8,6.12,4.12,8.16,6.12,8.16,22.22,1445117118,405,8.3,11831,1423463599,1008460608,0.66,0.86,0.78,19.67,621
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:21:05Z,sdgp,controller,7282963,17860793,111037133,6.12,8,5.1,6.12,6.25,6.19,8.16,19.39,1370666021,473,10.8,13002,1371489129,861822922,0.68,0.86,0.79,19.68,766
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:21:11Z,sdgp,controller,4980171,10995170,73820482,6.06,5,10.1,4.08,5.15,7,6.12,4.08,1038624885,238,24.8,8857,1038973292,866004009,0.79,0.86,0.81,19.63,220
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:21:16Z,sdgp,controller,4938468,7903901,71339856,5.05,3.03,8.16,3.06,3.03,3.03,1.01,2.02,969748304,175,4.9,9079,960441288,679911411,0.81,0.87,0.81,19.67,679
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:21:21Z,sdgp,controller,4332708,7172468,62198802,1.01,2.04,20,4,0,1.01,2.04,0,872911045,129,7.5,8033,877998485,694390250,0.68,0.86,0.78,19.61,350
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:21:26Z,sdgp,controller,4211934,6518478,60484538,2.04,1,4.08,14.14,3.03,1.02,2.06,2.04,860978828,108,5.6,8029,866221805,664401094,0.63,0.85,0.77,19.61,483
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:21:32Z,sdgp,controller,4778620,10529260,69841741,1.01,0,1.04,14.14,1.02,2.02,4,3,993807850,201,5.1,8499,1023115066,907870913,0.58,0.85,0.76,18.87,316
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:21:37Z,sdgp,controller,4848787,8228235,64600960,0,1.01,4.12,0,2.04,3.03,3,11.11,1019248824,131,5.5,8054,982638338,831628998,0.53,0.84,0.74,18.89,899
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:21:42Z,sdgp,controller,5137080,11714181,71292750,2.02,12.12,2,2.04,2.04,2,3.06,0,1076334888,178,7.2,8730,1048363192,945396341,0.49,0.84,0.73,18.86,1001
