#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_CIN,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_CIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-09T11:32:11.290193476Z,2023-07-30T11:32:11.290193476Z,2023-07-30T10:59:14Z,sdgp,bmc,51.5,46.5,45.5,43.5,1924,1860,1891,1823,47,36,39.5,0.51,6536,30,115,230.75,0.54,4888,26,122,230.5
,,0,2023-06-09T11:32:11.290193476Z,2023-07-30T11:32:11.290193476Z,2023-07-30T10:59:25Z,sdgp,bmc,51.5,46.5,45,43,1841,1856,1854,1863,46.5,36.5,39.5,0.55,6536,31,124,230.5,0.61,4888,26,138,230.5
,,0,2023-06-09T11:32:11.290193476Z,2023-07-30T11:32:11.290193476Z,2023-07-30T10:59:36Z,sdgp,bmc,51.5,47,45.5,43,1842,1860,1860,1852,46.5,37,39.5,0.59,6264,31,135,230.5,0.67,4888,26,150,230.25
,,0,2023-06-09T11:32:11.290193476Z,2023-07-30T11:32:11.290193476Z,2023-07-30T10:59:47Z,sdgp,bmc,51.5,46.5,45,43,2043,2027,2018,2014,46,37,39.5,0.63,6240,31,143,230.5,0.67,4888,26,151,230.25
,,0,2023-06-09T11:32:11.290193476Z,2023-07-30T11:32:11.290193476Z,2023-07-30T10:59:59Z,sdgp,bmc,51,46.5,45,43.5,2270,2258,2241,2236,46,37.5,39.5,0.63,6264,32,144,230,0.68,5064,26,153,230
,,0,2023-06-09T11:32:11.290193476Z,2023-07-30T11:32:11.290193476Z,2023-07-30T11:00:09Z,sdgp,bmc,51,46.5,45,44,2346,2355,2365,2354,46,37.5,39.5,0.63,6504,32,143,230.25,0.67,5064,26,151,230.25
,,0,2023-06-09T11:32:11.290193476Z,2023-07-30T11:32:11.290193476Z,2023-07-30T11:00:22Z,sdgp,bmc,51,46.5,45.5,44.5,2572,2589,2607,2571,46,38,39.5,0.6,6536,32,137,230,0.67,5064,26,151,230.25
,,0,2023-06-09T11:32:11.290193476Z,2023-07-30T11:32:11.290193476Z,2023-07-30T11:00:34Z,sdgp,bmc,51.5,46.5,45.5,44.5,2831,2855,2862,2849,46,38,39.5,0.6,6504,32,136,230.5,0.67,5064,26,151,230.25
,,0,2023-06-09T11:32:11.290193476Z,2023-07-30T11:32:11.290193476Z,2023-07-30T11:00:45Z,sdgp,bmc,51,46.5,46,45,3007,3030,3038,3019,46,37.5,39.5,0.6,6504,32,137,230.25,0.67,5096,26,151,230.5
,,0,2023-06-09T11:32:11.290193476Z,2023-07-30T11:32:11.290193476Z,2023-07-30T11:00:56Z,sdgp,bmc,51,47,46,45,3171,3199,3210,3188,45.5,37.5,39.5,0.6,6240,32,137,230.25,0.67,5064,26,152,230.25
,,0,2023-06-09T11:32:11.290193476Z,2023-07-30T11:32:11.290193476Z,2023-07-30T11:01:07Z,sdgp,bmc,51,47.5,46,45.5,3337,3361,3367,3360,45.5,38,39.5,0.62,6240,32,142,230.25,0.67,5064,26,151,230.25
,,0,2023-06-09T11:32:11.290193476Z,2023-07-30T11:32:11.290193476Z,2023-07-30T11:01:18Z,sdgp,bmc,50.5,47.5,46.5,45.5,3497,3526,3518,3513,45.5,38,39,0.63,6264,32,143,230.25,0.67,5096,26,151,230
,,0,2023-06-09T11:32:11.290193476Z,2023-07-30T11:32:11.290193476Z,2023-07-30T11:01:29Z,sdgp,bmc,50.5,47,46,46,3660,3689,3681,3672,45.5,38,39,0.63,6536,31,143,230.5,0.67,5064,26,152,230
