#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_CIN,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_CIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2024-04-03T11:40:09.85347067Z,2024-05-24T11:40:09.85347067Z,2024-05-24T10:28:00Z,sdgp,bmc,43,40.5,39.5,39,5426,5475,5467,5457,39.5,34,34.5,0.54,5336,28,122,230.25,0.57,4528,25,128,230.25
,,0,2024-04-03T11:40:09.85347067Z,2024-05-24T11:40:09.85347067Z,2024-05-24T10:28:12Z,sdgp,bmc,43,40.5,39,38.5,5428,5469,5461,5453,39.5,34,34,0.54,5368,28,121,230.5,0.57,4528,25,131,230.5
,,0,2024-04-03T11:40:09.85347067Z,2024-05-24T11:40:09.85347067Z,2024-05-24T10:28:22Z,sdgp,bmc,43,40,39,38.5,5426,5474,5461,5451,39.5,34,34,0.54,5336,28,122,230.75,0.57,4560,25,128,230.75
,,0,2024-04-03T11:40:09.85347067Z,2024-05-24T11:40:09.85347067Z,2024-05-24T10:28:34Z,sdgp,bmc,42.5,40,38.5,38.5,5426,5473,5458,5452,39.5,34,33.5,0.54,5336,28,122,230.5,0.57,4528,25,128,230.5
,,0,2024-04-03T11:40:09.85347067Z,2024-05-24T11:40:09.85347067Z,2024-05-24T10:28:45Z,sdgp,bmc,42.5,40,38.5,38,5427,5470,5461,5449,39,34,34,0.54,5368,28,122,230.25,0.57,4560,25,127,230
,,0,2024-04-03T11:40:09.85347067Z,2024-05-24T11:40:09.85347067Z,2024-05-24T10:28:56Z,sdgp,bmc,42.5,40,38.5,38,5427,5470,5460,5449,39,34,33.5,0.54,5336,28,122,230.5,0.57,4528,25,128,230.25
,,0,2024-04-03T11:40:09.85347067Z,2024-05-24T11:40:09.85347067Z,2024-05-24T10:29:07Z,sdgp,bmc,42,39.5,38.5,38,5427,5469,5459,5450,39,33.5,33.5,0.54,5336,28,122,230.75,0.58,4528,25,129,230.5
,,0,2024-04-03T11:40:09.85347067Z,2024-05-24T11:40:09.85347067Z,2024-05-24T10:29:17Z,sdgp,bmc,42,39.5,38.5,38.5,5428,5470,5459,5453,39,33.5,33.5,0.56,5368,28,126,230.75,0.56,4528,24,127,231
,,0,2024-04-03T11:40:09.85347067Z,2024-05-24T11:40:09.85347067Z,2024-05-24T10:29:28Z,sdgp,bmc,42,39.5,38.5,38,5259,5304,5297,5291,39,34,33.5,0.56,5096,28,126,230.5,0.57,4560,24,130,230.5
,,0,2024-04-03T11:40:09.85347067Z,2024-05-24T11:40:09.85347067Z,2024-05-24T10:29:39Z,sdgp,bmc,42,39.5,38,37.5,5261,5300,5295,5289,38.5,33.5,33.5,0.56,5096,28,126,230.75,0.57,4528,24,128,230.75
