#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-18T02:22:56.143207396Z,2023-06-19T02:22:56.143207396Z,2023-06-19T01:43:12Z,sdgp,bmc,43,40,40,39,3976,4004,4000,3992,39,34.5,33.5,5336,28,118,227.5,4560,25,124,227.5
,,0,2023-06-18T02:22:56.143207396Z,2023-06-19T02:22:56.143207396Z,2023-06-19T01:43:35Z,sdgp,bmc,43,40,40,39,3975,4007,4000,3993,39,34.5,33.5,5336,28,118,227.25,4560,25,123,227.5
,,0,2023-06-18T02:22:56.143207396Z,2023-06-19T02:22:56.143207396Z,2023-06-19T01:43:58Z,sdgp,bmc,43,40,40,39,3975,4005,4000,3992,39,34.5,33.5,5368,28,118,227.25,4528,25,123,227.5
,,0,2023-06-18T02:22:56.143207396Z,2023-06-19T02:22:56.143207396Z,2023-06-19T01:44:35Z,sdgp,bmc,43,40,40,39,3976,4004,4005,3986,39,34.5,33.5,5336,28,123,227.75,4528,25,139,227.5
,,0,2023-06-18T02:22:56.143207396Z,2023-06-19T02:22:56.143207396Z,2023-06-19T01:45:10Z,sdgp,bmc,43.5,40.5,41,40,3973,4005,4002,3991,39,35,33.5,5336,28,151,227.25,4560,25,160,227
,,0,2023-06-18T02:22:56.143207396Z,2023-06-19T02:22:56.143207396Z,2023-06-19T01:45:33Z,sdgp,bmc,43.5,40.5,41.5,40.5,3974,4006,4001,3992,39,35,33.5,5336,28,153,227,4560,25,161,227
,,0,2023-06-18T02:22:56.143207396Z,2023-06-19T02:22:56.143207396Z,2023-06-19T01:45:56Z,sdgp,bmc,43.5,41,42,41,3973,4005,3999,3993,39,35,34,5336,28,156,226.75,4560,25,164,226.75
,,0,2023-06-18T02:22:56.143207396Z,2023-06-19T02:22:56.143207396Z,2023-06-19T01:46:19Z,sdgp,bmc,44,41,43,41.5,3974,4004,3998,3991,39.5,35,34,5336,29,156,226.75,4560,25,164,226.75
,,0,2023-06-18T02:22:56.143207396Z,2023-06-19T02:22:56.143207396Z,2023-06-19T01:46:42Z,sdgp,bmc,44,41,43.5,41.5,4140,4174,4168,4163,39.5,35.5,34,5336,29,156,226.75,4560,25,164,226.75
,,0,2023-06-18T02:22:56.143207396Z,2023-06-19T02:22:56.143207396Z,2023-06-19T01:47:05Z,sdgp,bmc,44,41.5,43.5,42,4142,4176,4164,4160,39.5,35.5,34,5336,29,158,227.25,4528,25,166,227.25
