#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_CIN,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_CIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:28:36Z,sdgp,bmc,43,43,41,40.5,1674,1685,1686,1685,37,38,33.5,0.47,5336,32,104,233.5,0.48,4528,26,108,234
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:28:48Z,sdgp,bmc,43,43.5,41,40,1672,1682,1698,1686,37,38.5,33.5,0.47,5520,32,104,233.75,0.48,4528,26,109,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:29:01Z,sdgp,bmc,43.5,43.5,41,40.5,1671,1691,1697,1690,37,38.5,33.5,0.47,5544,32,105,234,0.48,4560,26,109,234
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:29:14Z,sdgp,bmc,43.5,43.5,41,40.5,1671,1686,1693,1686,37.5,38.5,34,0.47,5520,32,106,233.75,0.49,4560,26,110,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:29:24Z,sdgp,bmc,44,44,41,40.5,1705,1694,1688,1691,37.5,38.5,34,0.49,5544,32,112,233.5,0.52,4560,26,117,233.5
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:29:36Z,sdgp,bmc,44,44,41.5,40.5,1710,1694,1682,1695,37.5,38.5,34,0.5,5520,32,114,233.25,0.53,4560,26,120,233.25
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:29:46Z,sdgp,bmc,44,44,41.5,40.5,1701,1694,1693,1679,37.5,38.5,34,0.5,5544,32,115,233.5,0.53,4616,26,120,233.5
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:29:57Z,sdgp,bmc,44,44,41.5,40.5,1671,1689,1688,1699,38,38.5,34,0.5,5544,32,114,233.25,0.52,4616,26,119,233.25
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:30:08Z,sdgp,bmc,44.5,44.5,41.5,40.5,1700,1694,1699,1695,38,38.5,34.5,0.51,5488,32,116,233.25,0.53,4616,26,121,233.25
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:30:19Z,sdgp,bmc,44.5,44.5,41.5,40.5,1701,1691,1681,1692,38,39,34.5,0.51,5544,32,117,233,0.53,4648,26,122,233.25
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:30:30Z,sdgp,bmc,44.5,44,41.5,41,1673,1694,1681,1687,38,39,34.5,0.52,5520,32,119,233,0.55,4616,26,124,233
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:30:41Z,sdgp,bmc,45,44.5,42,41,1674,1694,1687,1691,38,39,34.5,0.51,5816,32,116,233.25,0.53,4616,26,122,233.25
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:30:52Z,sdgp,bmc,45,45,42,41,1698,1696,1688,1689,38.5,39,34.5,0.5,5784,32,114,233.5,0.52,4616,26,119,233.5
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:31:02Z,sdgp,bmc,45,45,42,41,1702,1700,1695,1692,38.5,39,35,0.5,5816,32,113,233.75,0.52,4616,26,119,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:31:13Z,sdgp,bmc,45,45,42,41.5,1704,1692,1688,1694,38.5,39,35,0.5,5816,32,114,233.5,0.52,4616,26,118,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:31:24Z,sdgp,bmc,45.5,45,42.5,41.5,1697,1694,1683,1688,38.5,39,35,0.5,5784,33,114,233.5,0.52,4616,26,118,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:31:35Z,sdgp,bmc,45.5,45.5,42.5,41.5,1672,1690,1678,1689,39,39,35,0.5,5784,33,115,233.5,0.53,4888,26,120,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:31:46Z,sdgp,bmc,45.5,45.5,42.5,41.5,1699,1692,1690,1691,39,39,35,0.51,5784,33,116,233.75,0.53,4888,26,121,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:31:57Z,sdgp,bmc,45.5,45.5,42.5,41.5,1704,1693,1694,1687,39,39.5,35.5,0.51,5816,33,117,233.5,0.54,4888,26,122,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:32:08Z,sdgp,bmc,46,45.5,42.5,42,1674,1688,1692,1696,39,39.5,35.5,0.51,5784,33,117,233.5,0.53,4888,26,122,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:32:18Z,sdgp,bmc,46,45.5,43,42,1708,1679,1685,1687,39,39.5,35.5,0.52,5784,33,117,233.5,0.54,4888,26,122,233.5
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:32:29Z,sdgp,bmc,46,46,43,42,1701,1683,1680,1687,39.5,39.5,35.5,0.52,5816,33,119,233.25,0.54,4888,26,124,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:32:40Z,sdgp,bmc,46,46,43,42,1700,1679,1688,1704,39.5,39.5,35.5,0.52,5816,33,117,233.25,0.54,4888,26,122,233.5
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:32:51Z,sdgp,bmc,46.5,46,43,42.5,1707,1680,1691,1693,39.5,39.5,36,0.51,5816,33,117,233.75,0.54,4920,26,122,233.5
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:33:02Z,sdgp,bmc,46.5,46,43,42.5,1700,1682,1685,1687,39.5,39.5,36,0.51,6120,33,117,233.75,0.54,4920,26,124,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:33:13Z,sdgp,bmc,46.5,46.5,43.5,42.5,1672,1678,1681,1690,39.5,39.5,36,0.51,6144,33,116,233.75,0.54,4920,26,123,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:33:24Z,sdgp,bmc,46.5,46.5,43.5,42.5,1701,1689,1694,1691,40,40,36,0.51,6088,33,116,233.75,0.54,4888,26,122,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:33:35Z,sdgp,bmc,47,46.5,43.5,42.5,1701,1685,1684,1683,40,39.5,36,0.51,6056,33,117,233.5,0.54,4920,27,122,233.5
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:33:46Z,sdgp,bmc,47,46.5,43.5,43,1708,1687,1688,1692,40,39.5,36,0.51,6056,33,117,233.5,0.54,4888,27,123,233.5
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:33:56Z,sdgp,bmc,47,46.5,44,43,1699,1692,1686,1695,40,40,36.5,0.51,6056,33,117,233.75,0.54,4920,27,122,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:34:07Z,sdgp,bmc,47,46.5,44,43,1672,1684,1693,1688,40,40,36.5,0.51,6056,33,117,233.25,0.54,4888,27,122,233.25
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:34:18Z,sdgp,bmc,47,47,44,43,1672,1694,1694,1689,40,40,36.5,0.51,6088,33,117,233.75,0.54,4888,27,122,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:34:29Z,sdgp,bmc,47.5,47,44,43,1700,1695,1688,1692,40.5,40,36.5,0.51,6088,33,118,233.5,0.54,4888,27,123,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:34:40Z,sdgp,bmc,47.5,47,44,43,1671,1692,1687,1691,40.5,40,36.5,0.51,6088,33,117,233.75,0.54,4920,27,123,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:34:51Z,sdgp,bmc,47.5,47,44.5,43.5,1698,1689,1691,1683,40.5,40,37,0.51,6088,34,118,233.75,0.54,4888,27,122,233.75
,,0,2023-06-12T12:59:04.390715666Z,2023-08-02T12:59:04.390715666Z,2023-08-02T12:35:02Z,sdgp,bmc,47.5,47,44.5,43.5,1705,1694,1691,1692,40.5,40,37,0.51,6088,34,118,234,0.54,4888,27,122,234
